LimitL,,,,,,0.900,-0.7000,-0.7000,-0.7000,-1.0000,-1.6000,0.3000,0.0000,0.0000,10.0000,11.5000,11.5000,10.0000,11.5000,-0.5000,3.0000,,0.8000,,,,,,-0.4000,,,,0.0000,0.0000,776.0000,0.0000,0.5000,1.1100,1.0100,1.0000,1.0000,-1000.0000,3.6000,,100.0000,18.0000,17.0000,1000.0000,2.8500,2.5500,10.0000,-0.7000,-0.7000,-0.7000,-1.0000,-1.6000,0.3000,
1,17,True,1,2934,52,1.000,-0.4285,-0.4175,-0.5396,-0.6959,-1.4950,0.4296,2.6501,254.4742,134.1871,11.9996,11.9721,91.9572,12.0006,0.0181,3.4811,,1.0500,11.8565,11.9993,3.1615,34.7927,98.0901,0.0600,11.9999,11.9912,3.0011,21.3168,30.0042,810.8519,2.6376,1.6668,1.2199,1.1399,79.9212,1.6666,3.5742,4.0297,3.6500,379.6833,20.6986,19.2966,1401.9770,2.9595,2.6695,289.9538,-0.4277,-0.4161,-0.5389,-0.6943,-1.4928,0.4286,
1,18,True,1,2934,52,1.000,-0.4286,-0.4173,-0.5395,-0.6959,-1.4950,0.4297,2.9629,254.3292,127.2513,12.0000,11.9733,86.5903,11.9997,0.0174,3.4811,,1.0500,11.8563,11.9993,3.1367,34.7678,98.0658,0.0600,11.9995,11.9916,3.0011,18.6483,35.0892,810.8280,3.4801,1.6694,1.2199,1.1399,80.0093,1.6719,-2.0231,4.0297,3.6499,379.7845,20.6982,19.2952,1402.9591,2.9594,2.6695,289.8605,-0.4278,-0.4161,-0.5388,-0.6943,-1.4927,0.4287,
1,19,True,1,2934,52,1.000,-0.4287,-0.4173,-0.5396,-0.6959,-1.4949,0.4296,2.2151,253.8027,124.9583,11.9999,11.9741,84.6280,11.9997,0.0180,3.4781,,1.0500,11.8563,11.9997,3.1332,34.8020,98.0799,0.0600,11.9995,11.9907,2.9981,12.6126,26.8261,810.8249,4.8510,1.6669,1.2199,1.1399,79.9834,1.6691,-2.3341,4.0297,3.6500,379.7386,20.6980,19.2939,1404.0558,2.9593,2.6696,289.7517,-0.4277,-0.4161,-0.5388,-0.6943,-1.4927,0.4288,
1,20,True,1,2933,52,1.000,-0.4288,-0.4173,-0.5396,-0.6958,-1.4949,0.4296,2.5814,254.4436,131.4656,11.9998,11.9731,89.2594,11.9997,0.0175,3.4813,,1.0500,11.8564,11.9992,3.1609,34.7927,98.0975,0.0600,11.9995,11.9912,3.0013,16.2976,22.3767,810.8643,6.1010,1.6742,1.2199,1.1399,79.9782,1.6678,-2.3341,4.0298,3.6499,379.9294,20.6976,19.2957,1401.8625,2.9592,2.6694,289.7672,-0.4277,-0.4161,-0.5388,-0.6943,-1.4928,0.4286,
1,21,True,1,2933,52,1.000,-0.4285,-0.4173,-0.5396,-0.6959,-1.4949,0.4296,1.8413,253.6577,128.4135,11.9987,11.9731,89.2628,11.9998,0.0177,3.4804,,1.0500,11.8566,12.0000,3.1453,34.7865,98.0820,0.0600,11.9997,11.9917,3.0004,22.3333,18.5629,810.8674,4.5886,1.6704,1.2199,1.1400,79.9264,1.6657,2.6413,4.0297,3.6499,379.7959,20.6986,19.2975,1401.1187,2.9593,2.6696,289.7361,-0.4276,-0.4160,-0.5388,-0.6942,-1.4927,0.4287,
1,22,True,1,2933,52,1.000,-0.4286,-0.4172,-0.5396,-0.6959,-1.4949,0.4295,1.8794,253.4059,128.4208,11.9998,11.9736,85.8141,11.9991,0.0177,3.4785,,1.0500,11.8566,11.9994,3.1388,34.7989,98.0724,0.0600,11.9993,11.9913,2.9985,20.6814,33.8179,810.8384,2.6203,1.6682,1.2199,1.1399,79.9938,1.6688,1.0865,4.0297,3.6499,379.8417,20.6980,19.2968,1401.2808,2.9595,2.6695,290.0470,-0.4277,-0.4159,-0.5387,-0.6942,-1.4927,0.4287,
1,23,True,1,2933,52,1.000,-0.4287,-0.4173,-0.5395,-0.6958,-1.4949,0.4296,2.8180,253.5585,133.3722,12.0000,11.9726,86.1941,12.0003,0.0186,3.4808,,1.0500,11.8566,11.9995,3.1457,34.7865,98.0934,0.0600,11.9994,11.9907,3.0008,17.5683,37.6317,810.7918,3.7219,1.6657,1.2199,1.1398,80.0819,1.6722,-3.2669,4.0297,3.6500,379.7482,20.6983,19.3034,1394.8730,2.9593,2.6696,289.7361,-0.4277,-0.4161,-0.5388,-0.6942,-1.4927,0.4286,
1,24,True,1,2935,52,1.000,-0.4285,-0.4173,-0.5395,-0.6958,-1.4948,0.4296,2.4212,252.1392,128.0034,11.9993,11.9730,83.5040,12.0001,0.0177,3.4806,,1.0500,11.8568,11.9999,3.1500,34.7896,98.0870,0.0600,12.0005,11.9916,3.0006,14.5186,23.0123,810.8550,5.8352,1.6670,1.2199,1.1399,80.0197,1.6666,-1.4012,4.0297,3.6500,379.6586,20.6980,19.2912,1406.8018,2.9596,2.6696,290.0160,-0.4277,-0.4159,-0.5388,-0.6942,-1.4926,0.4288,
1,25,True,1,2933,52,1.000,-0.4287,-0.4171,-0.5396,-0.6958,-1.4948,0.4295,2.8943,252.8946,134.5553,12.0001,11.9726,91.5671,11.9997,0.0183,3.4823,,1.0500,11.8569,11.9994,3.1578,34.7709,98.0696,0.0600,11.9998,11.9913,3.0023,20.9991,17.9273,810.8457,4.0672,1.6671,1.2199,1.1399,80.0249,1.6685,2.9523,4.0297,3.6500,379.7386,20.6987,19.2972,1401.4621,2.9595,2.6696,289.8605,-0.4276,-0.4160,-0.5388,-0.6942,-1.4926,0.4286,
1,26,True,1,2933,52,1.000,-0.4287,-0.4171,-0.5396,-0.6957,-1.4947,0.4295,2.5967,254.0392,121.9121,11.9992,11.9731,85.4486,12.0006,0.0172,3.4814,,1.0500,11.8564,12.0000,3.1475,34.7834,98.0994,0.0600,11.9994,11.9912,3.0014,20.4908,26.1904,810.7814,1.8987,1.6689,1.2198,1.1399,79.9368,1.6722,1.0865,4.0297,3.6500,379.6909,20.6985,19.2926,1405.8960,2.9595,2.6695,290.0470,-0.4276,-0.4159,-0.5388,-0.6941,-1.4926,0.4286,
1,27,True,1,2933,52,1.000,-0.4286,-0.4173,-0.5395,-0.6958,-1.4948,0.4295,2.1923,253.1465,123.8058,12.0011,11.9730,83.1287,11.9994,0.0177,3.4801,,1.0500,11.8573,11.9995,3.1394,34.7865,98.0844,0.0600,11.9991,11.9912,3.0001,11.8501,34.4536,810.8125,4.3849,1.6673,1.2199,1.1399,79.9212,1.6691,-3.2669,4.0297,3.6500,379.7749,20.6982,19.2966,1401.6337,2.9596,2.6696,290.0160,-0.4276,-0.4161,-0.5388,-0.6941,-1.4925,0.4286,
1,28,True,1,2933,52,1.000,-0.4284,-0.4172,-0.5395,-0.6957,-1.4947,0.4295,2.2228,253.9324,128.0204,12.0003,11.9738,89.2712,12.0000,0.0182,3.4812,,1.0500,11.8558,11.9998,3.1395,34.7865,98.1184,0.0600,11.9998,11.9910,3.0012,13.9468,30.0042,810.8830,6.7434,1.6617,1.2199,1.1399,79.9834,1.6660,-2.6450,4.0298,3.6500,379.7777,20.6981,19.2979,1400.2414,2.9593,2.6695,289.7361,-0.4276,-0.4159,-0.5387,-0.6941,-1.4926,0.4285,
1,29,True,1,2933,52,1.000,-0.4286,-0.4171,-0.5395,-0.6957,-1.4948,0.4294,1.9252,252.0934,132.2173,11.9998,11.9724,91.5671,12.0007,0.0181,3.4820,,1.0500,11.8574,11.9995,3.1513,34.7647,98.0565,0.0600,11.9998,11.9910,3.0021,20.6814,17.2917,810.8747,3.3006,1.6644,1.2199,1.1399,79.9938,1.6663,5.4400,4.0297,3.6499,379.7854,20.6980,19.3015,1396.4368,2.9595,2.6696,289.9227,-0.4275,-0.4159,-0.5388,-0.6941,-1.4925,0.4286,
1,30,True,1,2933,52,1.000,-0.4284,-0.4173,-0.5395,-0.6957,-1.4947,0.4295,1.6734,254.1995,134.1592,11.9998,11.9726,85.4390,12.0002,0.0179,3.4803,,1.0500,11.8569,11.9999,3.1525,34.7896,98.0727,0.0600,12.0001,11.9918,3.0003,22.1427,26.8261,810.7368,1.8434,1.6708,1.2199,1.1400,79.9212,1.6741,-1.0902,4.0297,3.6499,379.7997,20.6979,19.2972,1400.7087,2.9594,2.6697,289.7050,-0.4274,-0.4159,-0.5386,-0.6941,-1.4925,0.4286,
1,31,True,1,2922,52,1.000,-0.4286,-0.4173,-0.5395,-0.6957,-1.4947,0.4294,2.5356,254.2376,128.0301,11.9995,11.9733,88.5081,12.0004,0.0172,3.4503,,1.0400,11.8582,11.9996,3.1574,34.7834,98.0450,0.0600,11.9999,11.9916,3.0003,10.5159,16.0204,810.8498,4.6922,1.6654,1.2199,1.1399,79.9627,1.6706,-3.2669,4.0297,3.6499,379.8016,20.6890,19.2928,1396.2850,2.9593,2.6695,289.8449,-0.4276,-0.4160,-0.5387,-0.6941,-1.4925,0.4285,
1,32,True,1,2988,52,1.000,-0.4285,-0.4174,-0.5395,-0.6957,-1.4947,0.4295,2.0091,252.2537,129.1729,12.0005,11.9733,86.9686,12.0001,0.0173,3.4804,,1.0500,11.8560,11.9996,3.1562,34.7865,98.0596,0.0600,11.9994,11.9913,3.0004,23.2228,38.9029,810.7596,1.5948,1.6601,1.2199,1.1399,79.9990,1.6731,-2.0231,4.0297,3.5497,479.9467,20.6983,19.2962,1402.1009,2.9594,2.6695,289.8605,-0.4276,-0.4159,-0.5387,-0.6941,-1.4925,0.4285,
1,33,True,1,2933,52,1.000,-0.4285,-0.4174,-0.5395,-0.6957,-1.4947,0.4296,2.8409,253.3601,124.1915,11.9991,11.9731,84.3036,11.9994,0.0165,3.4811,,1.0500,11.8561,11.9993,3.1556,34.7802,98.0651,0.0600,11.9994,11.9913,3.0011,17.1870,26.1904,810.8871,6.3635,1.6693,1.2199,1.1399,79.9679,1.6647,-0.4683,4.0297,3.6500,379.7062,20.6983,19.2991,1399.2497,2.9592,2.6696,289.5807,-0.4276,-0.4160,-0.5387,-0.6940,-1.4925,0.4285,
